date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:24:16	1554/1554	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22602904eb971d1bc66a8a973de907f747%22	https://ai-tool.nextjstemplates.com/robots.txt		(from )
20:24:16	195261/195261	---MCZ	200	added ('OK')	text/html	etag:W/%22ae71c10daaba957c6b71071ea7610113%22	https://ai-tool.nextjstemplates.com/	C:/Github/teste/ai-tool.nextjstemplates.com/index.html	(from )
20:24:16	48395/48395	---MCZ	200	added ('OK')	text/css	etag:W/%229272afd2bcbee68b95d74f53725e7cee%22	https://ai-tool.nextjstemplates.com/_next/static/css/6f6ebf6eec1a3afb.css	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/css/6f6ebf6eec1a3afb.css	(from https://ai-tool.nextjstemplates.com/)
20:24:16	23593/23593	---MCZ	200	added ('OK')	text/css	etag:W/%2266b5753768fe785c6be1000a09e5b9a6%22	https://ai-tool.nextjstemplates.com/_next/static/css/fef0bf2a30d9f023.css	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/css/fef0bf2a30d9f023.css	(from https://ai-tool.nextjstemplates.com/)
20:24:16	6412/6412	---MCZ	200	added ('OK')	text/css	etag:W/%22dd2f72a3af8d472f4b721413b59af754%22	https://ai-tool.nextjstemplates.com/_next/static/css/b9b07d7c9a83825f.css	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/css/b9b07d7c9a83825f.css	(from https://ai-tool.nextjstemplates.com/)
20:24:17	5009/5009	---MCZ	200	added ('OK')	application/javascript	etag:W/%228d0544438b95bbec9cc0fab8e54a3541%22	https://ai-tool.nextjstemplates.com/_next/static/chunks/webpack-5a222ed6879ce29c.js	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/chunks/webpack-5a222ed6879ce29c.js	(from https://ai-tool.nextjstemplates.com/)
20:24:17	163908/163908	---MCZ	200	added ('OK')	application/javascript	etag:W/%22414660ab5293377e1e285bc7df94641b%22	https://ai-tool.nextjstemplates.com/_next/static/chunks/fd9d1056-85a93b1001cb21c4.js	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/chunks/fd9d1056-85a93b1001cb21c4.js	(from https://ai-tool.nextjstemplates.com/)
20:24:17	110869/110869	---MCZ	200	added ('OK')	application/javascript	etag:W/%22830e8d67ae6e4487fb720a0a658d75ce%22	https://ai-tool.nextjstemplates.com/_next/static/chunks/2472-a62d48415431051c.js	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/chunks/2472-a62d48415431051c.js	(from https://ai-tool.nextjstemplates.com/)
20:24:18	518/518	---M--	200	added ('OK')	application/javascript	etag:%22bf51602da2a07a4f9e64fa6a2eb390b1%22	https://ai-tool.nextjstemplates.com/_next/static/chunks/main-app-8ed6d57d180fb331.js	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/chunks/main-app-8ed6d57d180fb331.js	(from https://ai-tool.nextjstemplates.com/)
20:24:18	22006/22006	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257c5f75e368555fa899fe16fe91f0412%22	https://ai-tool.nextjstemplates.com/_next/static/chunks/8326-18e82aa83d4185c6.js?dpl=dpl_23d1Zb521Cs1aAnbjs9SMCzuyLTa	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/chunks/8326-18e82aa83d4185c656e9.js	(from https://ai-tool.nextjstemplates.com/)
